natural_command,bash_command
"search for all the files in current folder which start with ""file2015-0"" and move them to frst 400 fiiles  to another folder","find . -name ""file2015-0*"" | head -400 | xargs -I filename mv  filename"
"Remove sequence like '\xEF\xBB\xBF' from first string of every '*.js' file in a current folder and subfolders, creating backup file with .bak extension for every changed file, and removing backup on success.",find . -iname *.js -type f -exec sed 's/^\xEF\xBB\xBF//' -i.bak {} \; -exec rm {}.bak \;
"find files under the current directory called ""foo"" or ""bar""",find . \
"Find all files/directories in entire file system that have  ""write"" bit set for either the owner, the group, or others",find / -perm /222
Delete files in /var/tmp/stuff and below that have not been modified in over 90 days,find /var/tmp/stuff -mtime +90 -print | xargs /bin/rm
Delete everything in the current directory,find -mindepth 1 -maxdepth 1 -print0 | xargs -0 rm -rf
Find all your text files,"find . -name ""*.txt"" -print"
find all the normal/regular files in current folder and delete all the files which are not present in /some/dir,find . -type f -print0 | grep -Fxvz -f < | xargs -0 echo rm
Find all files on the system that have been modified in the last 10 minutes,find / -mmin -10
Find all directories whose status were changed $FTIME days ago,find . -type d -ctime $FTIME
"Find all files in ""/home/"" which contain ""string1"", ""string2"" or the host name in its filename","find /home/ -type f -regextype posix-extended -regex "".*(string1|string2|$(hostname)).*"""
Find recursively the latest modified file in the current directory,"find . -type f -print0 | xargs -0 stat -f ""%m %N"" | sort -n | tail -1 | cut -f2- -d"" """
find al the files that are modified exactly 2 days ago,find -daystart -mtime 2
Find all *.txt files/directories under current directory and execute process for each of them,find . -name \*.txt -exec process {} \;
Get the grandparent directory of each found 'pattern' file in $SEARCH_PATH,"find ""$SEARCH_PATH"" -name 'pattern' | rev | cut -d'/' -f3- | rev"
"Find directory ""/some/dir"" if it is empty",find /some/dir/ -maxdepth 0 -empty
Find all files under $1 not matching the regex '.*/\..*' and execute hashmove on each of them with the file path as its argument,find $1 -type f -not -regex '.*/\..*' -exec $0 hashmove '{}' \;
"Search for all files with either ""sitesearch"" or ""demo"" in their path names",find . -ipath '*sitesearch*' -ipath '*demo*'
"find all the files in the file system which have the permission 777 and with the name ""dateiname""","find / -perm 777 -iname ""Dateiname"""
Find all files/directories under current directory tree that start with 'R' and end with 'VER' in their names and were modified more than 1 day ago,"find . -name ""R*VER"" -mtime +1"
Find all *.so files under current directory and search for mysymbol in their symbol tables,"find . -type f -name ""*.so"" -exec sh -c ""echo {} && readelf -s {} | grep mysymbol"" \;"
Remove all non-hidden files in the current directory tree,"find -name ""*"" | xargs rm -f"
"Search the current directory tree for files whose name is "".note"", case insensitive",find -type d -exec find {} -maxdepth 1 \! -type d -iname '.note' \;
"Change permissions to u=rw,g=r,o= for all files inside the current directory tree","find . -type f -exec chmod u=rw,g=r,o= '{}' \;"
search for al cpp files in current folder and display distinct parent directory of these files in sorted order,"find . -name ""*.cpp"" | while read f; do dirname ""$f"" ; done | sort -u"
search for a word in all the files in the current directory,find . -type f -exec grep 'needle' {} \;
List all directories and subdirectories,find . -type d
"display all the regular files in the folder ""$"" which are modified in the last $*24 hours and excluding hidden files","find ${FOLDER} -type f ! -name \"".*\"" -mtime -${RETENTION}"
search for the word foo in all the js files in the current folder,"find . -name ""*.js"" -exec grep -iH foo {} \;"
find all the files in the current folder which have a set uid set,find . -perm -4000 -print
Count line numbers on files and record each count along with individual file name.,find /home/my_dir -name '*.txt' | xargs grep -c ^.*
Find all the *.txt files in the current directory older than 48 hours,find . -maxdepth 1 -name '*.txt' -mtime +2
Calculate the SHA1 sum for the contents of the regular files in the path/to/folder directory tree,find path/to/folder -type f -print0 | xargs -0 sha1sum | sha1sum
"Execute the file utility for each file found under /etc or below that contains ""test"" in its pathname",find /etc -print0 | grep -azZ test | xargs -0 file
Find all files on the system whose names are 'drush',find / -name drush
Find broken symlinks in current directory,find . -type l -xtype l
return every file that does not have bar somewhere in its full pathname,find . ! -path '*bar*' -print
display all the files in the file system which belong to the user with the id 1005,find / -uid 1005
Remove all empty files in /tmp/ and below,find /tmp -type f -empty -print | xargs rm -f
"Find symbolic links in /usr/lib and /usr/lib64 to files whose pathnames contain ""libstdc++""","find  /usr/lib/ /usr/lib64/ -lname ""*libstdc++*"""
"display a long listing of all images with the name ""articles"" in the current folder","find . -iname ""Articles.jpg"" -exec ls -l {} \;"
Find files/directories under current directory that matches 'projects/insanewebproject' in their paths,find -ipath 'projects/insanewebproject'
Find all 50MB files,find / -size 50M
"Search for all files in the current directory recursively whose names end with ""Linkin Park""","find . -name ""*Linkin Park"""
Find files and directories that are at least seven levels of nesting in the directory /usr/src,find /usr/src -name CVS -prune -o -mindepth 7 -print
Delete all files/directories taken by the glob pattern * except the ones with the name 'b',find * -maxdepth 0 -name 'b' -prune -o -exec rm -rf {} \;
Find and replace xxx with yyy in whole directory tree,find . -type f -exec perl -pi -e 's|xxx|yyy|g' {} ;
"Append "".txt"" to all filenames in the current directory tree",find -type f | xargs -I {} mv {} {}.txt
find all the directory's from root which have the sticky bit on and display their details. Do not display any errors on the standard output.,find / -type d  -perm -1000  -exec ls -ld {} \; 2> /dev/null
find all the files in the entire file system whose size is between 50Mb to 100MB,find / -size +50M -size -100M
Find all files/directories in directories/files taken from the glob pattern '/tmp/test/*' that were modified within the last day (day counted from today),find /tmp/test/* -daystart -mtime -1
change the permission of all the regular/normal files in the current folder from 777 to 755,find . -type f -perm 777 -exec chmod 755 {} \;
list any files modified since /bin/sh was last modified,find . -newer /bin/sh
"find all the regular/normal files ending with "".mod"" in a folder and pass them as input to remodup command","find $DIR -name ""*.mod"" -type f -exec bash -c 'remodup ""$1""' - {} \;"
Find all .gif files in the /var/www directory tree that are between 5 kB and 10 kB in size,find /var/www -name *.gif -size +5k -size -10k
Display the count of regular files for which the owner has read and execute permission under 'home/magie/d2' directory tree,find home/magie/d2 -type f -perm -u+rx | wc -l
find all the files in the current folder that have been modified in the last 7 days,find -mtime -7 -daystart
Find files/directories that is under group 'root' or have no group and set their group to 'apache',find /var/www -group root -o -nogroup -print0 | xargs -0 chown :apache
Search for files that are at least 1.1GB,find / -size +1.1G
Find all or single file called FindCommandExamples.txt under / directory of owner root,find / -user root -name FindCommandExamples.txt
Find all *company* files/directories under /root/of/where/files/are directory,find /root/of/where/files/are -name *company*
display all the php files in the current folder which do not have the permission 644,"find . -type f -name ""*.php"" ! -perm 644"
Find <fileName> files/directories under current directory,"find -name ""<fileName>"""
Find directories in /proc and show only those that doesn't match the regex '/proc/[0-9]*($|/)',find /proc -type d | egrep -v '/proc/[0-9]*($|/)' | less
Find x* files/directories under /tmp directory whose status was changed less than 1 day ago and move them to ~/play,"find /tmp/ -ctime -1 -name ""x*"" -exec mv '{}' ~/play/"
Find all regular files that reside in the current directory tree and were last modified more than 5 days ago,find . -type f -mtime +5
"delete recursively, without prompting, any files or directories under the current directory that case insensitively match the filename "".svn""",find . -iname .svn -exec rm -rf {} \;
find all regex  '\./[a-f0-9\-]\{36\}\.jpg' files,find . -regex '\./[a-f0-9\-]\{36\}\.jpg'
