bash_code,nl_command,srno
"#!/bin/bash

ls -lS /path/to/your/directory",Print the list of files with their sizes in a directory sorted by size.,20345
$ ls -Fltr,"Prints long listing of the current directory, sorted from oldest to newest, with appended indicators.",19107
find /usr/share/doc -name README,find all read me files in a folder,2178
set `od -j $o -N 8 -t u1 $rpm`,"Extract 8 bytes as an unsigned integer that is ""$o"" offset into ""$rpm""",11948
"#!/bin/bash

threshold=500
power_usage=$(cat /sys/class/power_supply/BAT0/power_now)
if [ ""$power_usage"" -gt ""$threshold"" ]; then
    echo ""System power usage exceeds $threshold Watts.""
    # Send alert here
fi",Create a script to monitor system power usage and send an alert if it exceeds a certain threshold.,1836
grep -m1 -ao '[0-9]' /dev/urandom | sed s/0/10/ | head -n1,Prints a random number between 1 and 10,23776
"find . -name ""*.png"" -print0 | sed 'p;s/\.png/\.jpg/' | xargs -0 -n2 mv",rename all the png files to jpg files in the current fodler,15032
mv ~/Linux/Old/^Tux.png ~/Linux/New/,"Move all files not matching ""Tux.png"" in ""~/Linux/Old"" to ""~/Linux/New/"" using zsh with ""EXTENDED_GLOB""",21895
"paste -d, -s file","Merge each line in ""file"" into a single comma separated line",20494
column -t -s' ' filename,"Format space separated fields in ""filename"" as a table",6529
find $HOME/html/andrews-corner -exec grep -q 'slrn' '{}' \; -print,"search for the word ""slrn"" in all the files in the folder $HOME/html/andrews-corner",20747
find . -size -500k,Find and show all files in the current directory tree that are smaller than 500 kB,7110
seq 1 1000 | split -l 1 -a 3 -d - file,"Create 1000 files each file having a number from 1 to 1000 named ""file000"" to ""file999""",16772
"find -type f -name '*.au' | awk '{printf ""sox %s %s\n"",$0,$0"".wav"" }' | bash",Convert *.au files to *.wav files using `sox',16888
"find ""$d"" -type f -printf ""%T@ :$f %p\n"" | sort -nr | cut -d: -f2- | head -n""$m""","Prints $m latest modified files within the $d folder, using $f format for printing timestamp.",8158
jobs | wc -l,count amount of jobs running,14828
find $d -maxdepth 1 -perm -100 -type f | sed 's#.*/##',Find all files under $d directory  that are executable by owner and print only their names,7753
sort file1 file2 | uniq -u,"Print each line that is found only once in ""file1"" and ""file2"" combined",818
find wordpress -name '*js',Find every JavaScript file in the wordpress directory tree,20078
find / -type f -perm 777 -print -exec chmod 644 {} \;,Filnd all files in root directory with 777 permission and change permision 644  with chmod commad .,22633
history 300 | grep scp | grep important$,"Search the first 300 commands in history containing ""scp"" and ending in ""important""",20661
"#!/bin/bash

cat textfile.txt | tr -s '[:space:]' '
' | sort | uniq -c",Create a script to find the number of times each word appears in a text file.,5981
find . -type d -empty -exec rmdir {} \;,delete all the empty directories in the current folder,5551
"find /home/john/script -name ""*.sh"" -type f -exec chmod 644 {} \;",change permissions of all the script files in a directory,14978
find /var/www -type d -mtime 0 -name logs -exec sudo rm -fr {} \;,force remove all the directories with the name logs in the folder /var/www,4846
"find . -name ""file.ext"" -execdir pwd ';'","Find all files named ""file.ext"" in the current directory tree and print the path names of the directories they are in",14500
"find . -maxdepth 1 -name ""$a"" -print -quit",Find one file or directory in the current directory whose name matches the pattern given as a variable $a,2695
find . -name game,find files in current directory that names are game,15622
NET_IP=`ifconfig ${NET_IF} | grep -Eo 'inet ?{3}[0-9]*' | grep -Eo '{3}[0-9]*' | grep -v '127.0.0.1'`,Gets IP address of ${NET_IF} network interface.,3577
"rand_str=""$""",Creates 5-letter random file name and saves it in 'rand_str' variable.,17193
find . -type f -iname '*.txt' -print0 | xargs -0 rename .txt .abc,Rename all *.txt regular files in the current directory tree to *.abc,4975
find . -type f | xargs file,find the type of all the regular/normal files in the current folder,19693
find . -path ./misc -prune -o -name '*.txt' -print,find all txt files under the current folder except ./misc folder,4517
"find -name ""<filetype>"" -atime -5",Find files/directories named<filetype> under current directory which were accessed less than 5 days ago,17156
yes 'UUUUUUUUUUUUUUUUU' | tr -d '\n' > /dev/to/overwrite,"Continuously write ""UUUUUUUUUUUUUUUUU"" without newlines to ""/dev/to/overwrite""",2797
find dir -not -path '.git' -iname '*.py',Find all *.py  files/directories under dir directory ignoring .git path,20161
cat /var/run/dmesg.boot | grep Features,Find strings with 'Features' in /var/run/dmesg.boot' file,4035
"mkdir -p ""$TARGET_PATH""","Make directories to ""$TARGET_PATH"" as needed without causing an error if it exists",5926
"#!/bin/bash

printenv",Print the list of all environment variables and their values.,73
find /var -iname \*.log -exec bzip {} \;,Compress .log files in /var and below on an individual basis,1403
ln -s .bashrc test,"create a symbolic link named ""test"" to file "".bashrc""",13837
"find /home/pat -iname ""*.conf""",Return all of the .conf files in Pat's user folder and subdirectories,6931
which python,"Print full path of command ""python""",8199
"find . -name ""*.css"" -exec grep -l ""#content"" {} \;",find all CSS files that do something with your HTML ID #content,23333
column -t -s '' list-of-entries.txt,"Format file ""list-of-entries.txt"" with no column delimiter",17867
grep -e TEXT *.log | cut -d':' --complement -s -f1,Print lines containing string TEXT from all log files in the current directory.,18186
find . -perm -220,search for files which are writable by both their owner and their group,11900
crontab -u $user -l 2>/dev/null | grep -v '^#',"Filters out all comments from the output of the command ""crontab -u $user -l"" ignoring errors",11424
find . -type f -ls,display a list of all regular/normal files in the current folder,1326
find .  \  -prune -o -name myfile -type f -print,"search for the regular/normal file ""myfile"" in the current folder excluding search in the paths of ""work"" and ""home"" sub directories",21615
find your/dir -prune -empty,Print your/dir if it's empty,17708
find . | grep favicon\.ico | xargs -n 1 cp -f /root/favicon.ico,Replaces any occurences of '*favicon.ico*' in any subfolder with file '/root/favicon.ico'.,23719
find . -name *.pdf,display all pdf files in the current folder,22756
"#!/bin/bash

awk -F: '($2 == """" ) { print $1 }' /etc/shadow",Create a script to monitor system user accounts and send alerts if any accounts have weak passwords.,10429
awk -f script.awk file,"Filter contents of 'file' through awk commands written in script.awk, display the result.",10621
find -size 100k,Find files that are 100k,7483
find . -type f -maxdepth 1 -empty -print0 | xargs -0 /bin/rm,Find all empty files in the current directory and delete them,14578
"find . -type f -name ""*baz*"" -exec sed -i 's/foo/bar/g' {} +","replace the word foo to bar in the current folder in all the regular/normal files containing the word ""baz"" in their name (does not update the file)",6353
find / -group group2,Find all files owned by group `group2',18058
"#!/bin/bash

arr=(5 10 3 8 20)
max=${arr[0]}
for num in ""${arr[@]}""; do
    if [ ""$num"" -gt ""$max"" ]; then
        max=""$num""
    fi
done
echo ""The largest number in the array is: $max""",Create a script to find the largest number in an array of integers.,9939
ls | xargs -I {} mv {} PRE_{},"Prefix all files and folders in the current directory with ""PRE_""",2947
find . -print,List all files/directories under current directory,21010
read -rsp $'Press escape to continue...\n' -d $'\e',Silently read standard input until the escape key is pressed ignoring backslash escapes and using the prompt $'Press escape to continue...\n',8693
"find ""$ORIG_DIR"" -name ""*"" -type d","display all directories in the folder ""$ORIG_DIR""",12239
ln -nsf dir2 mylink,"Force create a symbolic link without dereferencing named ""mylink"" to ""dir2""",17690
ls -l /proc/self/fd/,Lists file descriptors of a current process.,14886
find . -name \*.php -type f -print0 | xargs -0 -n1 grep -Hn '$test' | wc -l,search for a word in all the php files in the current folder and display the count of all matching lines.,3827
sort | uniq -c,Print a count of each unique line from standard input,13954
df --total -BT | tail -n 1,Report total file systems disk usage estimated in terabytes,189
ifconfig,Displays status of currently active network interfaces.,12520
find . \ | xargs -d '\n' grep -Hd skip 'SearchString',"Search all files in the current directory tree for ""SearchString"", ignoring .html files and skipping .svn directories",22835
"find ! -path ""dir1"" ! -path ""dir2"" -type f",list all regular files which path is not dir1 or dir2,4526
"find . -exec printf '%s\t' {} \; -exec uuidgen \; | awk -F '\t' '{ sub; print $2, $1 }' | sort -k2",Generate UUIDs for the files from the current directory tree,20482
find -gid 1000 -exec chown -h :username {} \;,change the owner of the files which belong to the group 1000 to username and modify only the symbolic link not the originally pointed file,15661
"#!/bin/bash

get_random_number() {
    min=""$1""
    max=""$2""
    echo ""$((RANDOM % (max - min + 1) + min))""
}
get_random_number 10 100",Create a script to generate a random number within a given range.,18971
"find /tmp -type f -name "".*""",Find all hidden files under /tmp,9055
"find /tmp -name ""*.tmp"" -print0 | xargs -0 rm",Remove all *.tmp files from the /tmp directory tree,23822
find . -name 'cache*' -depth -exec rm {} \;,find all the files in the current folder which have the word cache in them and do not search in the sub directories of the folder.,7376
tar czfP backup.tar.gz /path/to/catalog,"create archive ""backup.tar.gz"" from /path/to/catalog",9542
"#!/bin/bash

your_variable=""""

if [ -z ""$your_variable"" ]; then
    echo ""Variable is empty.""
else
    echo ""Variable is not empty.""
fi",Check if a variable is empty.,3498
find $HOME -newer ~joeuser/lastbatch.txt,find all the files in the home folder which have been modified after a file,7707
comm -12 file1 file2,"Print common lines in ""file1"" and ""file2""",2726
"find PDFs/ -name '*.pdf' -exec sh -c 'pdftotext ""{}"" - | grep -i --with-filename --label=""{}"" --color ""perry sound""' \;","Search the *.pdf files from directory tree PDFs/ for text ""perry sound"", ignoring the case",12588
watch -n10 cat /tmp/iostat.running,"Execute ""cat /tmp/iostat.running"" every 10 seconds",19485
find ../[12][0-9][0-9][0-9] -type f -exec ln -s {} \;,"Create a symbolic link in the current directory for each file under the directories matching ""../[12][0-9][0-9]""",19275
