nl_cmd
"allow read for user, read for group, and read for others on file <file-name>"," chmod 444 <file-name>"
"set permissions to write for owner, write and execute for group members, and write and execute for others on <directory-name>","chmod 233 <directory-name>"
"assign write permission to user, write and execute permission to group, and write and execute permission to others for <directory-name>","chmod 233 <directory-name>"
"allow write for user, write and execute for group, and all for others on file <file-name>"," chmod 237 <file-name>"
"set permissions to write for owner, write and execute for group members, and all for others on <directory-name>","chmod 237 <directory-name>"
"assign write permission to user, write and execute permission to group, and all permission to others for <directory-name>","chmod 237 <directory-name>"
"allow write for user, write and execute for group, and none for others on file <file-name>"," chmod 230 <file-name>"
"provide write for user, write and execute to group, and none to others for <directory-name>","chmod 230 <directory-name>"
"grant write access for user, write and execute for group, and none to others for <directory-name>","chmod 230 <directory-name>"
"grant write access for user, all for group, and read to others for <file-name>"," chmod 274 <file-name>"
"assign write permission to user, all permission to group, and read permission to others for <directory-name>","chmod 274 <directory-name>"
"set permissions to write for owner, all for group members, and read for others on <directory-name>","chmod 274 <directory-name>"
"set permissions to write for owner, all for group members, and write for others on <file-name>"," chmod 272 <file-name>"
"set permissions to write for owner, all for group members, and write for others on <directory-name>","chmod 272 <directory-name>"
"provide write for user, all to group, and write to others for <directory-name>","chmod 272 <directory-name>"
"set permissions to write for owner, all for group members, and execute for others on <file-name>"," chmod 271 <file-name>"
